trial_id,score,total_return
trial_0014,25.91292149997572,22038.81937489972
trial_0010,16.338153071814105,6273.262441353379
trial_0000,13.34268295426137,5020.571313112923
trial_0006,9.647237363145758,1363.7623106127544
trial_0004,7.383060146106859,1459.5250058797858
trial_0008,4.307392533014155,183.2311484503565
trial_0005,4.063140896830348,197.1409620780423
trial_0015,1.7237375492768758,7.751148622271835
trial_0003,1.5834189575978963,43.39050954047633
trial_0009,1.0544640489517756,15.772912696370174
