symbol,strategy_tag,entry_date,entry_price,exit_date,exit_price,return,reason,hold_days,max_dd,entry_rsi,sl_price,exit_open,turnover_krw_entry,turnover_krw_exit
BMT_KRW,A,2025-04-27 15:00:00,182.182,2025-04-28 15:00:00,167.832,-0.07876738645969412,SL,1,-0.11626834703757775,72.0930232479899,182.182,168.0,29585252305.63769,6129194769.902099
XAI_KRW,A,2025-05-10 15:00:00,138.13799999999998,2025-05-11 15:00:00,128.871,-0.06708508882421904,SL,1,-0.1095860661078051,72.82369420632847,138.13799999999998,129.0,32789325577.238434,9348151097.184593
FIDA_KRW,A,2025-05-12 15:00:00,163.16299999999998,2025-05-13 15:00:00,150.849,-0.07547054172821041,SL,1,-0.1051892892383689,67.46031745282187,163.16299999999998,151.0,55457579325.25909,13460449671.143568
GRASS_KRW,A,2025-05-14 15:00:00,3104.1009999999997,2025-05-15 15:00:00,2768.4519999999998,-0.10813082435139834,SL,1,-0.18140550194726257,75.70040022809616,3104.1009999999997,2774.0,24825158120.76093,1572574026.8839188
ATH_KRW,B,2025-06-06 15:00:00,70.45071999999999,2025-06-07 15:00:00,69.86976,-0.008246331620173512,SL,1,-0.050400052689312254,49.419777984564156,70.45071999999999,70.08,668039773.5779405,387402100.4569214
APE_KRW,B,2025-06-06 15:00:00,1006.0089999999999,2025-06-07 15:00:00,967.14,-0.03863683128083339,SL,1,-0.0477222370774018,54.257095157329545,1006.0089999999999,972.0,422186021.5485907,31812077.92558755
INJ_KRW,B,2025-06-08 15:00:00,18595.62,2025-06-09 15:00:00,18223.48,-0.02001223944133078,SL,1,-0.01804833611355787,53.97923875425989,18595.62,18260.0,787023034.6346678,1080887075.3283987
REQ_KRW,B,2025-06-08 15:00:00,204.015,2025-06-09 15:00:00,199.995,-0.01970443349753686,SL,1,-0.014778325123152643,53.061224474635566,204.015,201.0,34917676.920238495,28068649.266688127
COOKIE_KRW,B,2025-06-10 15:00:00,357.714,2025-06-11 15:00:00,356.640858,-0.0030000000000000517,SL,1,-0.14456800684345594,43.434343431272325,357.714,360.0,1729081549.707396,622026519.6430682
ETHFI_KRW,B,2025-06-10 15:00:00,1835.8339999999998,2025-06-11 15:00:00,1833.9981659999999,-0.0009999999999999877,SL,1,-0.1023153509522102,44.64594127752587,1835.8339999999998,1893.0,6385534096.191528,4691746183.742491
NEIRO_KRW,B,2025-06-11 15:00:00,0.7279271999999999,2025-06-12 15:00:00,0.6447546,-0.11425950287336419,SL,1,-0.276163880124276,50.461398364934546,0.7279271999999999,0.6454,3962967091.5764346,4137981115.397952
VIRTUAL_KRW,B,2025-06-11 15:00:00,3068.0649999999996,2025-06-12 15:00:00,2877.12,-0.06223629551525138,SL,1,-0.22557051431439676,45.13742071848207,3068.0649999999996,2880.0,20924135453.94731,30868065886.60166
IOTX_KRW,B,2025-06-13 15:00:00,30.3909,2025-06-14 15:00:00,30.2389455,-0.004999999999999956,SL,1,-0.007597669039087304,52.53790370893009,30.3909,30.6,512864650.36444515,67174656.5580038
WNCG_KRW,B,2025-06-13 15:00:00,38.088049999999996,2025-06-14 15:00:00,35.954010000000004,-0.056029121994956216,SL,1,-0.1577410762693285,71.83580381951532,38.088049999999996,35.99,54476687043.800415,8351593020.898028
SOLV_KRW,B,2025-06-15 15:00:00,63.49589999999999,2025-06-16 15:00:00,63.178420499999994,-0.004999999999999961,SL,1,-0.029071168374650857,48.250564295964566,63.49589999999999,63.81,129125151.04253955,138750978.6617432
