symbol,strategy_tag,entry_date,entry_price,exit_date,exit_price,return,reason,hold_days,max_dd,entry_rsi,sl_price,exit_open,turnover_krw_entry,turnover_krw_exit
KAITO_KRW,A,2025-05-07 15:00:00,1790.7889999999998,2025-05-09 15:00:00,1947.051,0.04312937230460995,Trail,2,0.0,68.80466472232999,1790.7889999999998,1950.0,49922302961.8131,24609580792.489506
PYTH_KRW,A,2025-05-09 15:00:00,283.28299999999996,2025-05-10 15:00:00,259.48,-0.08402551512092128,SL,1,-0.0998400892393824,64.28571428035714,283.28299999999996,260.0,4830681643.750338,869190953.8300612
ETHFI_KRW,A,2025-05-09 15:00:00,977.9769999999999,2025-05-11 15:00:00,1507.491,0.2702190455399259,Trail,2,0.0,57.63293310324724,977.9769999999999,1510.0,9174943307.104792,7608689474.860665
FIDA_KRW,A,2025-05-12 15:00:00,163.16299999999998,2025-05-13 15:00:00,150.849,-0.07547054172821041,SL,1,-0.1051892892383689,67.46031745282187,163.16299999999998,151.0,55457579325.25909,13460449671.143568
COOKIE_KRW,A,2025-05-21 15:00:00,312.31199999999995,2025-05-23 15:00:00,434.565,0.1952225466840852,Trail,2,0.0,63.568773230892326,312.31199999999995,436.0,13292002248.695263,11457748898.82151
MEW_KRW,A,2025-05-23 15:00:00,6.1921859999999995,2025-05-24 15:00:00,5.596398000000001,-0.09621610203569449,SL,1,-0.1486043862377518,64.99327635367416,6.1921859999999995,5.602,74715620024.02849,11658523278.70582
A8_KRW,A,2025-05-29 15:00:00,230.22999999999996,2025-05-30 15:00:00,185.442,-0.1945358988837248,SL,1,-0.2572644746557789,58.33333332714647,230.22999999999996,186.0,16646932141.333838,652397724.815176
TOKAMAK_KRW,A,2025-06-02 15:00:00,1781.7799999999997,2025-06-03 15:00:00,1645.702,-0.07637194266407736,SL,1,-0.13569576490924792,63.85542168540064,1781.7799999999997,1649.0,25967557262.56803,865461154.9758297
RVN_KRW,A,2025-06-05 15:00:00,22.072049999999997,2025-06-06 15:00:00,20.23974,-0.08301494423943387,SL,1,-0.1840359187297961,65.35303769171244,22.072049999999997,20.26,44647288767.01371,3429790385.579176
ATH_KRW,B,2025-06-07 15:00:00,70.29024,2025-06-08 15:00:00,66.83888,-0.04910155378613011,SL,1,-0.0741246579895018,50.05109860243446,70.29024,67.04,383382307.5411901,331961555.5096157
APE_KRW,B,2025-06-07 15:00:00,976.8599999999999,2025-06-08 15:00:00,964.155,-0.013005957864995935,SL,1,-0.03670945683107089,55.93803786440081,976.8599999999999,969.0,97789695.22736315,64128639.24316619
SOLV_KRW,B,2025-06-09 15:00:00,61.31339,2025-06-10 15:00:00,60.1776,-0.01852433864772442,SL,1,-0.03936154892104318,48.81673083745546,61.31339,60.48,220594193.048563,126734797.23224969
REQ_KRW,B,2025-06-09 15:00:00,202.00499999999997,2025-06-10 15:00:00,200.99497499999995,-0.005000000000000065,SL,1,-0.0049751243781092904,49.999999986,202.00499999999997,207.0,24709910.35003855,29323646.203303967
COOKIE_KRW,B,2025-06-11 15:00:00,360.72,2025-06-12 15:00:00,309.38,-0.14232645819472176,SL,1,-0.28199157241073414,49.16201116933929,360.72,310.0,905409488.8696022,1181101942.1249332
ETHFI_KRW,B,2025-06-11 15:00:00,1894.8929999999998,2025-06-12 15:00:00,1712.286,-0.09636797433944806,SL,1,-0.24481224005788182,49.49066213863084,1894.8929999999998,1714.0,5526242757.213055,4854155849.239819
IOTX_KRW,B,2025-06-13 15:00:00,30.3909,2025-06-14 15:00:00,30.2389455,-0.004999999999999956,SL,1,-0.007597669039087304,52.53790370893009,30.3909,30.6,512864650.36444515,67174656.5580038
