trial_id,score,total_return
trial_0014,20.70267176284522,16615.201802589036
trial_0000,13.184534827515792,5847.650447234654
trial_0010,6.946402775175409,1240.6440730533461
trial_0006,5.561049439533803,549.7548123424094
trial_0008,2.92808524197534,219.65011485702547
trial_0016,2.8878056678528154,31.511365687676047
trial_0013,2.8878056678528154,31.511365687676047
trial_0004,2.871271443723404,204.8495688370748
trial_0007,0.9579369102736459,3.155401716500302
trial_0017,0.9334651010202919,6.31778731770442
